1,2012-06-08 18:00:00,,5,6,"",2012-05-25 19:02:48.814632,2012-05-25 19:02:48.814632
2,2012-06-08 20:45:00,,7,8,"",2012-05-25 19:03:09.174121,2012-05-25 19:03:09.174121
3,2012-06-12 18:00:00,,6,8,"",2012-05-25 19:03:29.298596,2012-05-25 19:03:29.298596
4,2012-06-12 20:45:00,,5,7,"",2012-05-25 19:03:41.061207,2012-05-25 19:03:41.061207
5,2012-06-16 20:45:00,,6,7,"",2012-05-25 19:04:01.584932,2012-05-25 19:04:01.584932
6,2012-06-16 20:45:00,,8,5,"",2012-05-25 19:14:01.598671,2012-05-25 19:14:01.598671
7,2012-06-09 18:00:00,,1,2,"",2012-05-25 19:15:02.086119,2012-05-25 19:15:02.086119
8,2012-06-09 20:45:00,,3,4,"",2012-05-25 19:15:19.898231,2012-05-25 19:15:19.898231
9,2012-06-13 18:00:00,,2,4,"",2012-05-25 19:15:35.452731,2012-05-25 19:15:35.452731
10,2012-06-17 20:45:00,,4,1,"",2012-05-25 19:15:49.949388,2012-05-25 19:15:49.949388
11,2012-06-17 20:45:00,,2,3,"",2012-05-25 19:17:24.509583,2012-05-25 19:17:24.509583
